年,月,日,時,分,縣市,區,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS緯度,GPS經度,事故類別
2022,3,1,0,48,臺中市,外埔區,0,0,0,8,,,70,,,,,,,,,,,,,,,23,,,,,B03,,,1,,2,,,44,44,1,6,,B03,120.647263,24.327546,3
2022,3,1,2,40,臺中市,烏日區,0,0,0,8,,,60,,,,,,,,,,,,,,,23,,,,,B03,,,1,,2,,,23,23,1,22,,B03,120.652587,24.055668,3
2022,3,1,6,30,臺中市,龍井區,0,0,0,8,,,50,,,,,,,,,,,,,,,42,,,,,C03,,,1,,11,,,42,42,1,21,,C03,120.587541,24.191885,3
2022,3,1,6,54,臺中市,北區,0,1,0,8,1,5,50,4,2,1,5,4,5,7,2,1,6,1,5,2,17,9,3,10,1,1,C03,7,6,1,10,2,15,,9,9,1,18,8,C03,120.685263,24.152819,2
2022,3,1,7,3,臺中市,西屯區,0,0,0,8,,,40,,,,,,,,,,,,,,,7,,,,,B03,,,1,,1,,,7,7,1,22,,B03,120.634035,24.173888,3
2022,3,1,7,4,臺中市,大甲區,0,2,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,17,26,2,5,1,1,C03,7,5,1,10,2,11,,26,26,1,6,8,C03,120.627019,24.350325,2
2022,3,1,7,5,臺中市,大肚區,0,2,0,8,1,5,50,14,8,1,5,4,5,7,4,4,5,5,4,2,13,23,2,9,1,1,C03,7,9,1,10,2,11,,23,23,1,22,8,C03,120.562222,24.160966,2
2022,3,1,7,6,臺中市,神岡區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,3,1,10,5,5,2,17,17,3,10,3,4,B03,7,4,1,8,2,2,,17,17,1,22,9,B03,120.711321,24.258271,2
2022,3,1,7,10,臺中市,神岡區,0,0,0,8,,,50,,,,,,,,,,,,,,,16,,,,,C03,,,1,,2,,,16,16,1,12,,C03,120.699021,24.249075,3
2022,3,1,7,15,臺中市,大甲區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,12,26,2,9,1,1,C03,7,4,3,18,2,12,,26,26,1,20,8,C03,120.622168,24.355568,2
