年,月,日,時,分,縣市,區,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS緯度,GPS經度,事故類別
2022,10,1,0,34,臺中市,后里區,0,1,0,8,3,5,50,14,9,1,5,4,5,7,4,4,5,4,5,1,16,26,3,10,1,1,B02,7,11,1,8,2,5,,26,26,1,4,5,B02,120.729361,24.332125,2
2022,10,1,0,35,臺中市,大雅區,0,1,0,8,3,5,50,14,13,1,5,4,5,7,1,1,5,5,5,1,18,23,2,9,1,1,C03,7,9,1,10,2,15,,23,23,1,22,9,C03,120.64516,24.22556,2
2022,10,1,0,47,臺中市,豐原區,0,1,0,8,3,5,50,4,2,1,5,4,5,7,2,1,1,3,5,2,17,6,3,10,1,1,B03,7,5,1,8,2,1,,6,6,1,4,5,B03,120.735047,24.24665,2
2022,10,1,4,35,臺中市,沙鹿區,0,2,0,8,3,5,40,4,1,1,5,4,5,7,3,1,10,5,5,2,3,15,2,9,1,1,C03,7,9,1,10,2,11,,15,15,1,4,5,C03,120.570689,24.241001,2
2022,10,1,5,44,臺中市,北屯區,0,1,0,8,2,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,15,25,3,10,1,1,B03,7,9,1,1,2,1,,25,25,1,10,1,B03,120.690535,24.196584,2
2022,10,1,6,15,臺中市,沙鹿區,0,1,0,8,1,5,30,4,2,1,5,4,5,7,4,4,10,5,5,2,17,23,2,9,1,1,C03,7,5,1,10,1,11,,23,23,2,3,5,C03,120.553897,24.223507,2
2022,10,1,6,31,臺中市,南區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,2,,,23,,1,3,,B03,120.658919,24.124166,3
2022,10,1,6,38,臺中市,東區,0,1,0,8,1,5,50,4,2,1,5,4,5,7,1,1,10,5,5,2,12,42,3,10,1,1,B03,7,9,1,8,2,2,,42,42,1,22,8,B03,120.706344,24.136717,2
2022,10,1,6,45,臺中市,沙鹿區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,3,1,10,5,5,2,15,6,3,10,1,1,C03,7,9,1,10,2,12,,6,6,1,4,5,C03,120.556819,24.232583,2
2022,10,1,6,57,臺中市,后里區,0,1,0,8,1,5,50,14,9,1,5,4,4,7,4,4,9,4,5,1,16,27,3,10,1,1,B03,7,5,1,8,2,5,,27,27,1,22,8,B03,120.730832,24.307159,2
2022,10,1,7,21,臺中市,大雅區,0,2,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,4,4,1,17,19,3,10,3,1,B03,7,1,1,8,2,15,,19,6,1,22,9,B03,120.630697,24.210674,2
