年,月,日,時,分,縣市,區,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS緯度,GPS經度,事故類別
2022,8,1,1,6,臺中市,豐原區,0,1,0,8,3,5,50,14,8,1,5,4,5,7,4,4,5,4,4,2,17,23,3,10,1,1,B03,7,9,1,8,2,5,,23,23,1,21,8,B03,120.719662,24.251953,2
2022,8,1,1,19,臺中市,東區,1,1,0,8,3,5,40,5,1,1,5,4,5,7,3,1,10,5,5,2,15,6,1,9,1,1,C03,7,9,1,10,2,14,,6,6,1,22,8,C03,120.705239,24.130353,1
2022,8,1,1,26,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,13,,,,,B03,,,1,,2,,,13,13,1,5,,B03,120.783852,24.204867,3
2022,8,1,1,53,臺中市,西區,0,0,0,8,,,30,,,,,,,,,,,,,,,23,,,,,B12,,,7,,9,,,23,,1,22,,B12,120.677847,24.137866,3
2022,8,1,2,5,臺中市,南區,0,0,0,8,,,40,,,,,,,,,,,,,,,23,,,,,C03,,,1,,1,,,23,,1,22,,C03,120.664127,24.122997,3
2022,8,1,4,25,臺中市,豐原區,0,2,0,8,2,5,30,11,9,1,5,4,5,7,4,4,10,5,5,2,17,5,2,9,1,1,C03,7,9,1,10,2,11,,5,5,1,22,8,C03,120.71308,24.244186,2
2022,8,1,6,40,臺中市,潭子區,0,2,0,8,1,5,50,14,9,1,5,4,5,7,4,4,8,5,5,1,17,26,2,7,1,1,C03,7,11,1,10,2,14,,26,26,1,22,8,C03,120.673534,24.206029,2
2022,8,1,6,51,臺中市,梧棲區,0,2,0,8,1,5,60,3,1,1,5,4,5,7,1,1,10,5,5,2,16,8,2,9,1,1,C03,7,5,1,10,2,14,,8,8,1,3,1,C03,120.531394,24.239014,2
2022,8,1,6,54,臺中市,潭子區,0,0,0,8,,,60,,,,,,,,,,,,,,,23,,,,,B03,,,1,,2,,,23,,1,22,,B03,120.686812,24.211199,4
2022,8,1,7,8,臺中市,北屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,4,4,5,5,5,2,15,6,3,10,1,1,B03,7,9,1,8,2,1,,6,6,1,22,8,B03,120.707372,24.16606,2
2022,8,1,7,20,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,1,,,23,,1,5,,B03,120.691652,24.182713,3
2022,8,1,7,31,臺中市,北屯區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,3,1,10,5,5,2,15,6,2,7,1,1,C03,7,9,6,10,2,11,,6,6,1,21,8,C03,120.6899,24.165892,2
2022,8,1,7,32,臺中市,西區,0,0,0,8,,,40,,,,,,,,,,,,,,,42,,,,,A12,,,1,,2,,,42,,1,22,,A12,120.659727,24.157289,3
2022,8,1,7,41,臺中市,潭子區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,1,4,5,1,17,1,2,9,1,1,C03,7,4,1,10,2,14,,1,1,1,22,8,C03,120.718121,24.197412,2
2022,8,1,7,41,臺中市,神岡區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,4,5,1,13,23,2,9,1,1,C03,7,9,1,10,2,11,,23,23,1,21,8,C03,120.695693,24.252123,2
2022,8,1,7,43,臺中市,大雅區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,4,4,5,4,4,1,12,23,2,9,1,1,C03,7,6,1,10,2,11,,23,23,1,22,9,C03,120.650918,24.217667,2
2022,8,1,7,45,臺中市,大雅區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,15,25,2,8,1,1,C03,7,9,1,10,2,11,,25,25,1,22,9,C03,120.66954,24.22238,2
2022,8,1,7,45,臺中市,沙鹿區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,1,,,23,,1,3,,B03,120.582571,24.221582,3
2022,8,1,7,50,臺中市,北屯區,0,0,0,8,,,30,,,,,,,,,,,,,,,23,,,,,B02,,,1,,1,,,23,,1,4,,B02,120.66247,24.192435,3
2022,8,1,7,50,臺中市,神岡區,0,0,0,8,,,50,,,,,,,,,,,,,,,7,,,,,B03,,,1,,1,,,7,,1,12,,B03,120.674878,24.251891,4
2022,8,1,7,51,臺中市,北屯區,0,2,0,8,1,5,30,11,9,1,5,4,5,7,4,4,10,5,5,2,10,5,2,8,1,1,C03,7,9,1,10,1,11,,5,5,1,22,8,C03,120.67148,24.176566,2
2022,8,1,7,54,臺中市,梧棲區,0,2,0,8,1,5,40,14,8,1,5,4,5,7,1,1,1,4,3,2,12,42,2,9,1,1,C03,7,15,1,10,2,14,,42,42,1,9,1,C03,120.514265,24.229704,2
2022,8,1,7,57,臺中市,北區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,1,1,5,5,5,2,16,8,2,9,1,1,C03,7,5,1,10,2,12,,8,8,1,21,8,C03,120.692251,24.161431,2
2022,8,1,7,58,臺中市,龍井區,0,0,0,8,,,70,,,,,,,,,,,,,,,42,,,,,B03,,,6,,2,,,42,,1,22,,B03,120.581167,24.188174,3
2022,8,1,8,1,臺中市,北區,0,2,0,8,1,5,40,3,1,1,5,4,5,7,4,4,10,5,5,2,16,19,2,9,3,4,C03,7,1,1,9,2,14,,19,19,1,5,8,C03,120.676668,24.152213,2
2022,8,1,8,5,臺中市,北屯區,0,1,0,8,1,5,30,14,9,1,5,4,5,7,4,4,1,4,5,1,16,7,3,10,1,1,B03,7,10,1,8,1,2,,7,7,1,21,8,B03,120.680065,24.201318,2
2022,8,1,8,7,臺中市,北區,0,2,0,8,1,5,40,4,1,1,5,4,5,7,2,1,3,4,4,2,13,16,2,9,1,1,C03,7,9,1,10,2,11,,16,16,1,22,8,C03,120.694326,24.155623,2
2022,8,1,8,13,臺中市,北屯區,0,2,0,8,1,5,15,4,1,1,5,4,5,7,4,4,10,5,5,2,16,6,2,9,1,1,C03,7,9,1,9,2,11,,6,6,1,22,8,C03,120.680502,24.180582,2
2022,8,1,8,20,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,C03,,,1,,2,,,23,,1,21,,C03,120.68623,24.188755,3
2022,8,1,8,23,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,48,,,,,B03,,,1,,2,,,48,48,1,22,,B03,120.747371,24.193274,3
2022,8,1,8,25,臺中市,大肚區,0,0,0,8,,,40,,,,,,,,,,,,,,,12,,,,,C03,,,1,,2,,,12,,1,19,,C03,120.548637,24.146319,3
2022,8,1,8,38,臺中市,大甲區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,15,6,2,3,1,1,B03,7,9,1,8,2,2,,6,6,1,4,8,B03,120.62579,24.372134,2
2022,8,1,8,39,臺中市,潭子區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B12,,,1,,2,,,23,,1,22,,B12,120.678532,24.20379,3
2022,8,1,8,47,臺中市,后里區,0,0,0,8,1,5,50,14,7,1,5,4,5,7,3,1,1,4,4,1,12,10,,,,,B12,,,1,,2,,,10,,1,22,,B12,120.699868,24.312609,3
2022,8,1,8,49,臺中市,北區,0,1,0,8,1,5,40,14,8,1,2,1,5,7,4,4,3,4,4,2,18,43,2,9,1,1,C03,7,9,1,10,2,14,,43,43,1,22,8,C03,120.675441,24.149363,2
2022,8,1,9,7,臺中市,梧棲區,0,0,0,8,,,70,,,,,,,,,,,,,,,7,,,,,B12,,,1,,2,,,7,,1,5,,B12,120.552656,24.244036,3
2022,8,1,9,7,臺中市,和平區,0,0,0,,,,40,,,,,,,,,,,,,,,4,,,,,B12,,,1,,1,,,4,,1,4,,B12,121.223708,24.244753,3
2022,8,1,9,15,臺中市,龍井區,0,3,0,8,1,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,13,16,2,9,1,1,C03,7,9,3,18,2,12,,16,16,1,22,8,C03,120.582872,24.178812,2
2022,8,1,9,17,臺中市,西區,0,0,0,8,,,40,,,,,,,,,,,,,,,7,,,,,C03,,,1,,1,,,7,,1,5,,C03,120.658063,24.15821,3
2022,8,1,9,18,臺中市,北屯區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,4,4,5,5,5,2,15,6,3,10,1,1,B03,7,9,1,8,2,4,,6,6,1,22,8,B03,120.680502,24.180582,2
2022,8,1,9,22,臺中市,梧棲區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,16,25,2,9,3,4,C03,7,9,1,10,2,12,,25,25,1,22,8,C03,120.553601,24.259436,2
2022,8,1,9,25,臺中市,大甲區,0,1,0,8,1,5,30,16,9,1,5,4,5,7,4,4,10,5,5,2,18,42,2,9,1,1,C03,7,3,1,10,2,15,,42,42,1,20,8,C03,120.626763,24.344385,2
2022,8,1,9,26,臺中市,大雅區,0,0,0,8,,,60,,,,,,,,,,,,,,,23,,,,,B12,,,1,,2,,,23,,1,22,,B12,120.644778,24.22657,3
2022,8,1,9,30,臺中市,北區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,5,5,5,2,13,23,2,8,1,1,C03,7,9,1,10,2,14,,23,23,1,21,8,C03,120.682365,24.163041,2
2022,8,1,9,39,臺中市,潭子區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,3,1,5,5,5,1,16,6,2,9,1,1,C03,7,5,1,10,2,11,12,6,6,1,22,8,C03,120.707941,24.219335,2
2022,8,1,9,40,臺中市,北屯區,0,1,0,8,1,5,50,5,1,1,5,4,5,7,2,1,10,5,5,2,16,6,3,10,1,1,B03,7,6,1,8,2,8,,6,6,1,4,8,B03,120.691358,24.166728,2
2022,8,1,9,45,臺中市,大里區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,1,1,5,4,4,1,16,8,2,9,3,4,C03,7,5,1,10,2,14,,8,8,1,22,9,C03,120.68997,24.10838,2
2022,8,1,9,45,臺中市,大甲區,0,2,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,5,5,1,12,26,2,7,1,1,C03,7,1,1,10,2,12,,26,26,1,5,8,C03,120.618329,24.345914,2
2022,8,1,9,51,臺中市,潭子區,0,2,0,8,1,5,30,3,1,1,5,4,5,7,4,4,10,5,5,1,17,6,2,9,1,1,C03,7,5,1,10,2,12,,6,6,1,22,8,C03,120.682742,24.22658,2
2022,8,1,9,55,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,7,,,,,B12,,,1,,1,,,7,7,1,22,,B12,120.711355,24.1722,3
2022,8,1,9,55,臺中市,梧棲區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,1,,,23,,1,19,,B03,120.552628,24.244023,4
2022,8,1,10,1,臺中市,北屯區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,1,1,10,5,5,2,16,6,2,8,1,1,B03,7,5,1,8,2,2,,6,6,1,22,8,B03,120.668409,24.199486,2
