年,月,日,時,分,縣市,區,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS緯度,GPS經度,事故類別
2022,12,1,7,35,臺中市,南屯區,0,2,0,8,1,5,40,14,8,1,5,4,5,7,4,4,1,2,5,2,12,26,2,8,1,1,C03,7,7,1,10,1,12,,26,26,1,9,8,C03,120.62267,24.140394,2
2022,12,1,7,35,臺中市,大里區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,1,13,16,2,9,1,1,C03,7,5,1,10,2,11,,16,16,1,5,8,C03,120.693891,24.10906,2
2022,12,1,7,36,臺中市,東區,0,0,0,,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,2,,,23,,1,22,,B03,120.698063,24.138023,3
2022,12,1,7,37,臺中市,梧棲區,0,1,0,7,1,5,50,4,1,1,4,4,5,7,4,4,10,5,5,2,15,6,2,8,1,1,F02,7,9,8,20,1,16,,6,6,1,20,8,F02,120.530199,24.248064,2
2022,12,1,7,40,臺中市,大雅區,0,2,0,8,1,5,50,3,2,1,5,4,5,7,4,4,1,4,5,1,13,16,2,9,1,1,C03,7,9,1,10,2,11,,16,16,1,22,9,C03,120.632445,24.238143,2
2022,12,1,7,40,臺中市,潭子區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,2,,,23,,1,22,,B03,120.693865,24.192916,3
2022,12,1,7,43,臺中市,豐原區,0,0,0,6,,,60,,,,,,,,,,,,,,,16,,,,,B03,,,1,,2,,,16,,1,22,,B03,120.730147,24.265341,3
2022,12,1,7,45,臺中市,大里區,0,1,0,8,1,5,60,14,7,1,5,4,5,7,4,4,1,4,4,2,16,23,2,9,1,1,C03,7,7,4,8,2,11,,23,23,1,21,1,C03,120.668935,24.103956,2
2022,12,1,7,46,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,1,,,23,,1,22,,B03,120.713882,24.161372,3
2022,12,1,7,46,臺中市,北屯區,0,1,0,8,1,5,50,4,2,1,5,4,5,7,1,1,5,4,5,2,12,23,2,8,1,1,C03,7,9,6,18,2,11,,23,23,1,22,8,C03,120.719478,24.18209,2
