年,月,日,時,分,縣市,區,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS緯度,GPS經度,事故類別
2022,9,1,4,38,臺中市,石岡區,0,0,0,8,,,50,,,,,,,,,,,,,,,42,,,,,B03,,,1,,2,,,42,42,1,22,,B03,120.778776,24.27572,3
2022,9,1,5,34,臺中市,豐原區,0,1,0,8,1,5,60,4,1,1,5,4,5,7,1,1,10,5,5,2,16,25,3,10,1,1,B12,7,5,1,8,2,5,,25,25,1,21,8,B12,120.703361,24.238383,2
2022,9,1,6,45,臺中市,清水區,0,0,0,,,,50,,,,,,,,,,,,,,,19,,,,,B03,,,1,,1,,,19,19,1,5,,B03,120.568321,24.276844,3
2022,9,1,7,6,臺中市,西屯區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,8,4,5,1,2,23,3,10,1,4,C03,7,9,1,10,2,12,,23,23,1,4,8,C03,120.620605,24.187951,2
2022,9,1,7,16,臺中市,西屯區,0,1,0,8,1,5,50,3,18,1,5,4,5,7,2,3,10,5,5,2,3,15,3,10,3,4,C03,7,9,1,9,2,11,,15,15,1,22,8,C03,120.639328,24.179858,2
2022,9,1,7,20,臺中市,梧棲區,0,0,0,8,,,70,,,,,,,,,,,,,,,43,,,,,B03,,,1,,1,,,43,,1,4,,B03,120.551683,24.244144,3
2022,9,1,7,20,臺中市,沙鹿區,0,2,0,8,1,5,50,4,9,1,5,4,5,7,1,1,4,3,5,1,16,6,3,10,1,1,B03,7,5,1,8,2,1,,6,6,1,22,8,B03,120.561319,24.242653,2
2022,9,1,7,21,臺中市,豐原區,0,1,0,8,1,5,20,3,9,1,5,4,5,7,4,4,10,5,5,1,16,23,3,10,1,1,B03,7,5,1,8,2,1,,23,23,1,21,8,B03,120.750712,24.253152,2
2022,9,1,7,26,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,16,,,,,B03,,,1,,1,,,16,,1,22,,B03,120.656756,24.201011,3
2022,9,1,7,26,臺中市,沙鹿區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,17,4,2,8,1,1,C03,7,9,1,10,2,11,,4,4,1,4,1,C03,120.620911,24.240375,2
2022,9,1,7,27,臺中市,神岡區,0,2,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,4,5,2,16,10,2,9,3,4,C03,7,11,1,10,2,14,,10,10,1,22,9,C03,120.692353,24.254219,2
2022,9,1,7,29,臺中市,大雅區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,17,25,2,8,1,1,C03,7,9,1,10,2,12,,25,25,1,22,8,C03,120.649964,24.221653,2
2022,9,1,7,38,臺中市,大甲區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,4,4,5,5,5,1,13,23,3,10,1,1,B03,7,9,1,8,2,2,,23,23,1,4,1,B03,120.632186,24.340564,2
2022,9,1,7,39,臺中市,南區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,C03,,,3,,2,,,23,,1,22,,C03,120.652498,24.122127,3
2022,9,1,7,40,臺中市,清水區,1,0,0,8,1,5,60,14,8,1,5,4,5,6,4,4,1,4,1,1,16,9,3,10,1,1,B03,7,6,1,8,2,2,,9,9,1,22,8,B03,120.553859,24.301159,1
2022,9,1,7,41,臺中市,龍井區,0,0,0,8,1,5,50,4,1,1,5,4,5,7,2,1,10,5,5,2,13,23,,,,,C03,,,1,,2,,,23,,1,12,,C03,120.54569,24.184,3
