年,月,日,時,分,縣市,區,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS緯度,GPS經度,事故類別
2022,2,1,0,8,臺中市,東區,0,2,0,7,3,5,50,14,9,1,4,4,5,7,1,1,5,4,5,2,12,16,2,9,1,1,C03,7,9,1,10,2,11,,16,16,1,21,8,C03,120.699357,24.14797,2
2022,2,1,0,19,臺中市,北區,0,1,0,6,3,5,30,4,1,1,4,4,5,7,3,1,10,5,4,2,17,6,3,10,1,1,B03,7,9,1,8,2,4,,6,6,1,22,9,B03,120.66752,24.166848,2
2022,2,1,0,22,臺中市,烏日區,0,5,0,8,3,5,40,3,1,1,5,4,5,7,3,1,10,5,5,2,16,6,2,1,1,1,B03,7,5,1,8,2,8,,6,6,1,21,8,B03,120.646191,24.067,2
2022,2,1,0,50,臺中市,大甲區,0,1,0,6,3,5,50,3,1,1,4,4,5,7,4,4,10,4,5,1,12,19,3,10,1,1,B03,7,1,1,8,2,8,,19,19,1,4,8,B03,120.653865,24.390436,2
2022,2,1,1,6,臺中市,西區,0,0,0,6,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,1,,,23,23,1,8,,B03,120.662714,24.132249,3
2022,2,1,1,15,臺中市,太平區,0,0,0,6,,,30,,,,,,,,,,,,,,,17,,,,,B03,,,1,,2,,,17,17,1,22,,B03,120.711533,24.125849,3
2022,2,1,3,15,臺中市,大里區,2,0,0,6,3,5,50,5,1,1,4,4,5,7,3,1,10,5,5,2,15,6,3,10,1,1,B12,7,9,1,8,2,1,,6,6,1,20,5,B12,120.671335,24.107821,1
2022,2,1,4,9,臺中市,大甲區,0,1,0,6,3,5,50,4,1,1,4,4,5,7,3,1,10,5,5,2,3,23,3,10,1,1,B03,7,5,1,8,2,8,,23,23,1,22,9,B03,120.654749,24.391795,2
2022,2,1,7,36,臺中市,新社區,0,0,0,8,,,50,,,,,,,,,,,,,,,12,,,,,B12,,,1,,2,,,12,12,1,21,,B12,120.794361,24.20573,3
2022,2,1,7,40,臺中市,中區,0,0,0,,,,50,,,,,,,,,,,,,,,42,,,,,C03,,,1,,2,,,42,42,1,21,,C03,120.68315,24.141177,3
2022,2,1,7,59,臺中市,大雅區,0,1,0,7,1,5,40,14,8,1,4,4,5,7,4,4,1,4,4,1,17,23,2,8,1,1,C03,7,9,1,10,2,11,,23,23,1,22,8,C03,120.637401,24.233866,2
2022,2,1,8,7,臺中市,北屯區,0,0,0,8,,,30,,,,,,,,,,,,,,,23,,,,,B11,,,1,,11,,,23,23,1,4,,B11,120.735066,24.17708,3
2022,2,1,8,17,臺中市,南屯區,0,1,0,7,1,5,30,14,9,1,4,4,5,7,4,4,10,5,5,2,18,42,2,9,1,1,C03,7,9,1,10,2,14,,42,42,1,4,1,C03,120.60326,24.136908,2
2022,2,1,8,31,臺中市,北屯區,0,1,0,8,1,5,50,4,1,1,4,4,5,7,4,4,10,5,5,2,13,23,3,10,3,4,C03,7,14,1,10,2,11,,42,23,1,21,8,C03,120.694788,24.172568,2
2022,2,1,8,58,臺中市,北區,0,1,0,8,1,5,40,14,8,1,5,4,5,7,4,4,1,4,4,2,17,43,,,,,,,,,,,,,43,43,1,,,,120.677191,24.153401,2
2022,2,1,9,11,臺中市,大甲區,0,0,0,8,,,50,,,,,,,,,,,,,,,16,,,,,A02,,,1,,2,,,16,16,1,10,,A02,120.62738,24.34096,3
2022,2,1,9,29,臺中市,潭子區,0,1,0,7,1,5,60,5,1,1,5,4,5,7,1,1,1,4,4,1,17,23,3,10,1,1,B03,7,6,1,8,2,6,,27,27,1,22,8,B03,120.704066,24.201108,2
2022,2,1,10,3,臺中市,沙鹿區,0,1,0,7,1,5,50,5,2,1,5,4,5,7,2,2,10,5,5,2,16,19,3,10,1,1,C03,7,1,1,10,2,11,,19,19,1,22,9,C03,120.568201,24.238308,2
2022,2,1,10,6,臺中市,石岡區,0,1,0,7,1,5,70,14,9,1,5,4,5,7,4,4,1,4,5,1,16,42,2,1,1,1,B03,7,9,1,8,2,8,,42,42,1,5,8,B03,120.79117,24.272878,2
2022,2,1,10,15,臺中市,豐原區,0,0,0,8,,,40,,,,,,,,,,,,,,,18,,,,,B03,,,1,,2,,,18,18,1,22,,B03,120.724724,24.240154,3
2022,2,1,10,21,臺中市,大雅區,0,0,0,8,,,50,,,,,,,,,,,,,,,12,,,,,B03,,,1,,1,,,12,12,1,22,,B03,120.648264,24.225003,3
2022,2,1,10,48,臺中市,東區,0,0,0,6,1,5,50,14,9,1,4,4,5,7,4,4,5,5,5,2,12,23,,,,,B03,,,1,,2,,,23,23,1,5,,B03,120.704442,24.14001,3
2022,2,1,10,56,臺中市,沙鹿區,0,0,0,,,,40,,,,,,,,,,,,,,,12,,,,,B03,,,1,,9,,,12,12,1,4,,B03,120.570688,24.222847,3
2022,2,1,11,2,臺中市,太平區,0,0,0,,,,50,,,,,,,,,,,,,,,23,,,,,B12,,,1,,2,15,,23,23,1,22,,B12,120.712449,24.159032,3
2022,2,1,11,30,臺中市,神岡區,0,0,0,8,,,50,,,,,,,,,,,,,,,17,,,,,B03,,,1,,1,,,17,17,1,12,,B03,120.65687,24.269398,3
2022,2,1,12,1,臺中市,大里區,0,0,0,6,,,60,,,,,,,,,,,,,,,6,,,,,B03,,,1,,2,,,6,6,1,22,,B03,120.68882,24.119812,3
2022,2,1,12,9,臺中市,潭子區,0,0,0,6,,,30,,,,,,,,,,,,,,,44,,,,,B03,,,1,,2,,,44,44,1,22,,B03,120.678373,24.206758,3
2022,2,1,12,17,臺中市,西屯區,0,0,0,6,,,40,,,,,,,,,,,,,,,43,,,,,B03,,,7,,11,,,43,43,1,22,,B03,120.639482,24.168525,3
2022,2,1,12,29,臺中市,北屯區,0,3,0,6,1,5,50,4,1,1,4,4,5,7,4,4,10,5,5,2,15,6,2,9,3,4,B03,7,9,1,8,2,8,,14,6,1,21,8,B03,120.707832,24.181317,2
2022,2,1,12,44,臺中市,烏日區,0,1,0,6,1,5,60,4,1,1,4,4,5,7,1,1,10,5,5,2,17,25,2,9,1,1,F03,7,9,8,20,2,16,,25,25,1,9,8,F03,120.643453,24.079625,2
2022,2,1,12,48,臺中市,霧峰區,0,4,0,8,1,5,80,14,9,1,5,4,5,7,4,4,9,5,5,1,13,23,2,3,3,4,B12,7,9,1,8,2,1,,23,23,1,22,9,B12,120.686305,24.056754,2
2022,2,1,12,58,臺中市,潭子區,0,0,0,6,,,50,,,,,,,,,,,,,,,12,,,,,B03,,,1,,2,,,12,12,1,22,,B03,120.705472,24.211539,3
2022,2,1,13,0,臺中市,南區,0,0,0,6,,,50,,,,,,,,,,,,,,,67,,,,,,,,,,,,,67,67,1,,,,120.668679,24.115424,3
2022,2,1,13,17,臺中市,清水區,0,3,0,6,1,5,50,5,2,1,4,4,5,7,1,1,1,4,4,2,17,23,3,10,3,4,B12,7,5,1,8,2,1,,23,23,1,22,8,B12,120.577251,24.275198,2
2022,2,1,13,22,臺中市,大雅區,0,0,0,8,,,30,,,,,,,,,,,,,,,17,,,,,B03,,,1,,2,,,17,17,1,22,,B03,120.654695,24.222117,3
2022,2,1,13,24,臺中市,豐原區,0,2,0,6,1,5,50,4,9,1,4,4,5,7,4,4,5,5,5,2,16,10,2,9,3,4,C04,7,11,1,11,2,11,,10,10,1,22,8,C04,120.716599,24.251784,2
2022,2,1,14,10,臺中市,北屯區,0,0,0,6,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,8,2,,,23,23,1,21,,B03,120.737807,24.178415,3
2022,2,1,14,10,臺中市,大甲區,0,0,0,6,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,1,,,23,23,1,4,,B03,120.624519,24.340791,3
2022,2,1,14,11,臺中市,北屯區,0,1,0,6,1,5,40,4,1,1,4,4,5,7,2,1,10,5,5,2,16,25,3,10,1,1,B03,7,9,1,8,2,5,,25,25,1,5,8,B03,120.686991,24.201365,2
2022,2,1,14,20,臺中市,龍井區,0,2,0,6,1,5,50,4,1,1,4,4,5,7,4,4,10,5,5,2,17,19,3,10,3,4,B03,7,1,1,8,2,15,,19,19,1,22,9,B03,120.591228,24.181177,2
2022,2,1,14,22,臺中市,龍井區,0,1,0,6,1,5,50,3,1,1,4,4,5,7,2,1,10,5,5,2,16,10,3,10,1,1,B12,7,11,1,8,2,5,,10,10,1,3,8,B12,120.523423,24.206536,2
2022,2,1,14,38,臺中市,西區,0,1,0,6,1,5,50,14,7,1,4,4,5,7,4,4,1,4,4,2,16,7,3,10,1,1,C03,7,7,1,10,2,13,,7,7,1,5,5,C03,120.66374,24.140039,2
2022,2,1,14,40,臺中市,清水區,0,1,0,6,1,5,40,3,1,1,4,4,5,7,1,1,1,4,1,1,16,25,2,8,1,1,C03,7,9,1,10,2,14,,25,25,1,5,5,C03,120.596322,24.303917,2
2022,2,1,14,55,臺中市,大甲區,0,0,0,6,,,60,,,,,,,,,,,,,,,19,,,,,B03,,,1,,1,,,19,19,1,4,,B03,120.616711,24.346828,3
2022,2,1,14,57,臺中市,豐原區,0,0,0,6,,,30,,,,,,,,,,,,,,,17,,,,,B03,,,1,,2,,,17,17,1,4,,B03,120.739616,24.248927,3
2022,2,1,15,12,臺中市,北區,0,0,0,6,1,5,50,3,2,1,4,4,5,7,4,4,10,5,5,2,13,23,,,,,B03,,,1,,1,,,23,23,1,22,,B03,120.688697,24.152433,3
2022,2,1,15,13,臺中市,大肚區,0,0,0,,,,50,,,,,,,,,,,,,,,7,,,,,B03,,,1,,2,,,7,7,1,21,,B03,120.568222,24.122097,3
2022,2,1,15,16,臺中市,大雅區,0,0,0,6,,,60,,,,,,,,,,,,,,,23,,,,,B03,,,1,,2,,,23,23,1,22,,B03,120.649773,24.213827,3
