年,月,日,時,分,縣市,區,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS緯度,GPS經度,事故類別
2022,11,1,0,27,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,C03,,,1,,11,,,23,,1,22,,C03,120.644359,24.174696,3
2022,11,1,0,28,臺中市,后里區,0,1,0,7,3,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,17,23,2,9,1,1,C03,7,9,1,10,2,14,,23,23,1,22,8,C03,120.717793,24.309618,2
2022,11,1,0,37,臺中市,梧棲區,0,0,0,8,,,50,,,,,,,,,,,,,,,18,,,,,B03,,,3,,2,,,18,,1,18,,B03,120.530883,24.255066,3
2022,11,1,1,35,臺中市,東區,0,0,0,,,,50,,,,,,,,,,,,,,,23,,,,,C03,,,1,,2,,,23,,1,22,,C03,120.708708,24.149205,3
2022,11,1,1,56,臺中市,太平區,0,0,0,8,,,30,,,,,,,,,,,,,,,23,,,,,B03,,,1,,11,,,23,,1,22,,B03,120.708891,24.158723,3
2022,11,1,2,0,臺中市,烏日區,0,1,0,6,3,5,30,14,9,1,4,4,5,7,4,4,10,5,5,1,19,42,2,9,3,4,C03,7,9,4,8,7,11,,42,42,1,21,9,C03,120.647418,24.058513,2
2022,11,1,2,13,臺中市,東區,0,1,0,7,3,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,15,6,2,9,1,1,B03,7,9,1,8,2,2,,6,6,1,22,9,B03,120.705905,24.141008,2
2022,11,1,2,20,臺中市,大里區,0,0,0,8,,,50,,,,,,,,,,,,,,,43,,,,,C03,,,1,,11,,,43,,1,12,,C03,120.682635,24.113623,3
2022,11,1,2,31,臺中市,北屯區,0,0,0,8,,,40,,,,,,,,,,,,,,,23,,,,,B03,,,6,,7,,,23,,1,21,,B03,120.670596,24.17557,3
2022,11,1,3,27,臺中市,大甲區,0,1,0,8,3,5,50,4,1,1,5,4,5,7,3,1,10,5,5,2,15,6,2,9,2,1,F03,7,9,8,20,2,16,,6,6,1,9,1,F03,120.64622,24.40435,2
2022,11,1,4,9,臺中市,北屯區,0,1,0,8,3,5,50,14,9,1,5,4,5,7,4,4,9,5,5,2,1,43,3,10,1,1,B03,7,9,1,8,11,4,,43,43,1,21,8,B03,120.673931,24.177523,2
2022,11,1,5,20,臺中市,潭子區,0,1,0,6,3,5,40,14,8,1,4,4,5,7,4,4,9,4,4,2,12,23,2,7,1,1,C03,7,9,1,10,2,12,,23,23,1,22,8,C03,120.688537,24.21018,2
2022,11,1,5,30,臺中市,南屯區,0,1,0,6,3,5,60,5,2,1,4,4,5,7,1,1,8,3,4,2,13,27,3,10,1,1,B03,7,15,1,8,3,3,,27,27,1,22,9,B03,120.646641,24.142582,2
2022,11,1,6,15,臺中市,外埔區,0,0,0,8,,,50,,,,,,,,,,,,,,,8,,,,,B03,,,3,,2,,,8,,1,4,,B03,120.639905,24.341156,3
2022,11,1,6,51,臺中市,西屯區,0,1,0,8,1,5,50,4,2,1,5,4,5,7,2,1,8,3,5,1,17,6,3,10,1,1,B03,7,6,1,8,2,6,,6,6,1,22,8,B03,120.644164,24.201417,2
2022,11,1,7,7,臺中市,南區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,2,,,23,,1,5,,B03,120.679521,24.119597,3
2022,11,1,7,8,臺中市,大雅區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,1,4,5,1,17,23,2,9,1,1,C02,7,9,1,9,2,12,,23,23,1,22,1,C02,120.64279,24.22898,2
2022,11,1,7,15,臺中市,南屯區,0,2,0,8,1,5,50,14,7,1,5,4,5,7,4,4,9,4,5,2,13,23,2,8,1,1,C03,7,9,3,18,2,14,,23,23,1,22,9,C03,120.649328,24.136734,2
2022,11,1,7,18,臺中市,龍井區,0,0,0,8,,,40,,,,,,,,,,,,,,,7,,,,,B03,,,1,,2,,,7,,1,22,,B03,120.573713,24.185372,3
2022,11,1,7,20,臺中市,太平區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,2,1,10,5,5,2,16,26,3,10,1,1,B03,7,5,1,8,2,2,,26,26,1,22,8,B03,120.713057,24.159115,2
2022,11,1,7,21,臺中市,南屯區,0,2,0,8,1,5,40,14,8,1,5,4,5,7,4,4,1,3,1,2,12,7,2,9,1,1,F03,7,7,8,20,2,16,,7,7,1,22,8,F03,120.640208,24.117475,2
2022,11,1,7,24,臺中市,南屯區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,4,4,5,5,5,2,16,6,3,10,1,1,C03,7,6,1,10,2,12,,6,6,1,22,8,C03,120.646807,24.149946,2
2022,11,1,7,24,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,16,,,,,B03,,,1,,1,,,16,,1,22,,B03,120.598391,24.162657,3
2022,11,1,7,29,臺中市,南區,0,0,0,8,,,50,,,,,,,,,,,,,,,42,,,,,B03,,,1,,2,,,42,,1,22,,B03,120.675058,24.128222,3
2022,11,1,7,31,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,44,,,,,B03,,,1,,1,,,44,,1,21,,B03,120.744049,24.159285,3
2022,11,1,7,34,臺中市,西屯區,0,1,0,8,1,5,30,3,1,1,5,4,5,7,4,4,10,5,5,2,16,6,3,10,1,1,B12,7,5,1,8,2,8,,6,6,1,10,8,B12,120.644331,24.202022,2
2022,11,1,7,34,臺中市,梧棲區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,16,6,3,10,1,1,B03,7,6,1,8,2,1,,6,6,1,12,8,B03,120.533448,24.232341,2
2022,11,1,7,38,臺中市,清水區,0,2,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,5,5,2,15,6,2,9,1,1,C03,7,9,1,10,2,12,,6,6,1,5,1,C03,120.553991,24.262596,2
