年,月,日,時,分,縣市,區,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS緯度,GPS經度,事故類別
2022,6,1,8,22,臺中市,豐原區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,3,1,5,5,5,2,16,6,2,9,1,1,C03,7,5,1,10,2,12,,6,6,1,9,8,C03,120.712333,24.253125,2
2022,6,1,8,23,臺中市,豐原區,0,1,0,8,1,5,50,4,2,1,5,4,5,7,1,1,8,3,4,1,17,6,2,8,3,4,C03,7,5,1,10,2,12,,6,6,1,22,8,C03,120.732222,24.241944,2
2022,6,1,8,44,臺中市,烏日區,0,1,0,8,1,5,40,3,1,1,5,4,5,7,4,4,10,5,5,2,17,9,3,10,1,1,B03,7,6,1,8,2,5,,9,9,1,5,8,B03,120.617165,24.102921,2
2022,6,1,8,50,臺中市,烏日區,0,1,0,8,1,5,30,4,1,1,5,4,5,7,4,4,10,5,5,2,17,6,3,10,1,1,B12,7,6,1,1,2,8,,6,6,1,5,8,B12,120.64273,24.062941,2
2022,6,1,8,50,臺中市,清水區,0,0,0,8,,,50,,,,,,,,,,,,,,,7,,,,,B03,,,1,,2,,,7,7,1,22,,B03,120.59586,24.302268,4
2022,6,1,8,56,臺中市,北區,0,0,0,8,,,50,,,,,,,,,,,,,,,16,,,,,C03,,,1,,1,,,16,16,1,22,,C03,120.672663,24.168381,3
2022,6,1,9,6,臺中市,大甲區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,5,5,1,18,23,2,9,1,1,C03,7,9,1,10,2,14,,23,23,1,22,9,C03,120.663495,24.388334,2
2022,6,1,9,17,臺中市,北屯區,0,1,0,8,1,5,30,3,1,1,5,4,5,7,4,4,10,5,5,2,17,6,3,10,1,1,B03,7,5,1,8,2,1,,6,6,1,5,8,B03,120.755623,24.176679,2
2022,6,1,9,25,臺中市,霧峰區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,2,,,23,23,1,4,,B03,120.692358,24.046676,3
2022,6,1,9,30,臺中市,東區,0,0,0,8,,,50,,,,,,,,,,,,,,,42,,,,,C03,,,6,10,2,,,42,42,1,5,,C03,120.688671,24.147186,3
2022,6,1,9,33,臺中市,南區,0,3,0,8,1,5,50,14,9,1,5,4,5,7,4,4,7,4,5,2,2,23,2,9,1,4,C03,7,9,1,10,2,11,,23,23,1,21,8,C03,120.657899,24.124119,2
2022,6,1,9,40,臺中市,和平區,0,2,0,8,1,5,30,11,9,1,5,4,5,7,4,4,10,5,5,1,27,23,2,9,1,1,C03,7,9,1,10,1,11,,23,23,1,5,6,C03,121.265293,24.279799,2
2022,6,1,9,44,臺中市,南區,0,0,0,8,,,40,,,,,,,,,,,,,,,43,,,,,C03,,,1,10,9,,,43,43,1,21,,C03,120.663548,24.124653,3
