年,月,日,時,分,縣市,區,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS緯度,GPS經度,事故類別
2022,1,1,0,2,臺中市,后里區,0,0,0,8,,,50,,,,,,,,,,,,,,,12,,,,,B03,,,1,,1,,,12,12,1,4,,B03,120.697548,24.314671,3
2022,1,1,0,26,臺中市,西屯區,0,0,0,8,,,30,,,,,,,,,,,,,,,12,,,,,B03,,,1,,1,,,12,12,1,22,,B03,120.648151,24.193343,3
2022,1,1,0,27,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,7,,,,,C03,,,1,,,,,7,7,1,22,,C03,120.6538,24.176243,3
2022,1,1,0,36,臺中市,北區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,1,1,10,5,5,2,17,42,2,9,1,1,C03,7,12,2,18,2,15,,42,42,1,22,8,C03,120.67284,24.168847,2
2022,1,1,0,37,臺中市,西屯區,0,2,0,8,3,5,50,3,1,1,5,4,5,7,4,4,5,5,5,2,16,43,2,8,3,4,C03,7,5,1,10,2,11,,43,43,1,22,8,C03,120.649291,24.168249,2
2022,1,1,0,40,臺中市,西屯區,0,1,0,8,3,5,50,14,7,1,5,4,5,7,4,4,3,4,4,2,13,16,2,9,1,1,C03,7,9,1,10,2,11,,16,16,1,1,9,C03,120.655588,24.176029,2
2022,1,1,0,40,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,16,,,,,B03,,,1,,2,,,16,16,1,22,,B03,120.621801,24.180133,3
2022,1,1,0,44,臺中市,后里區,0,2,0,8,3,5,50,14,7,1,5,4,5,7,4,4,9,4,4,1,13,23,2,9,2,1,C03,7,9,3,18,3,11,,23,23,1,22,8,C03,120.719958,24.309234,2
2022,1,1,0,54,臺中市,后里區,0,0,0,8,,,30,,,,,,,,,,,,,,,23,,,,,B03,,,1,,1,,,23,23,1,10,,B03,120.699086,24.320301,3
2022,1,1,0,55,臺中市,南屯區,0,1,0,8,3,5,40,4,1,1,5,4,5,7,1,1,1,4,1,2,15,25,3,10,1,1,B03,7,9,1,8,2,2,,25,25,1,22,8,B03,120.623141,24.145201,2
2022,1,1,1,1,臺中市,西屯區,0,0,0,8,,,30,,,,,,,,,,,,,,,12,,,,,B03,,,1,,1,,,12,12,1,22,,B03,120.648837,24.191892,3
2022,1,1,1,2,臺中市,南屯區,0,0,0,,,,40,,,,,,,,,,,,,,,43,,,,,C03,,,1,,1,,,43,43,1,4,,C03,120.637831,24.149572,3
2022,1,1,1,3,臺中市,西屯區,0,3,0,8,1,5,50,3,1,1,5,4,5,7,3,1,10,5,5,2,3,15,2,9,1,1,C03,7,9,1,10,2,15,,15,15,1,22,8,C03,120.635263,24.163016,2
2022,1,1,1,5,臺中市,西屯區,0,3,0,8,3,5,50,14,9,1,5,4,5,7,4,4,9,4,5,2,12,6,2,9,1,1,C03,7,5,1,10,2,14,,6,6,1,12,8,C03,120.66302,24.172871,2
2022,1,1,1,9,臺中市,北屯區,0,1,0,8,3,5,30,11,9,1,5,4,5,7,4,4,10,5,5,1,18,13,2,9,1,1,C03,7,9,1,10,2,15,,13,13,1,22,8,C03,120.782382,24.178286,2
2022,1,1,1,20,臺中市,北屯區,0,1,0,8,3,5,50,4,1,1,5,4,5,7,2,1,10,5,5,2,16,6,3,10,1,1,B03,7,6,1,8,2,2,,6,6,1,21,8,B03,120.674151,24.174006,2
2022,1,1,1,25,臺中市,南屯區,0,2,0,8,3,5,50,4,1,1,5,4,5,7,2,1,1,2,5,2,13,16,2,9,1,1,C03,7,12,1,10,1,11,,16,16,1,4,8,C03,120.646802,24.146809,2
2022,1,1,1,26,臺中市,西屯區,0,1,0,8,3,5,50,14,9,1,5,4,5,7,4,4,5,4,5,2,12,23,2,9,1,1,C03,7,9,3,18,2,11,,23,23,1,22,8,C03,120.609399,24.191556,2
