年,月,日,時,分,縣市,區,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS緯度,GPS經度,事故類別
2022,7,1,1,3,臺中市,北區,0,3,0,8,3,5,50,5,1,1,5,4,5,7,2,1,10,5,5,2,16,6,2,9,1,1,C03,7,5,1,10,2,12,,6,6,1,22,8,C03,120.68537,24.165318,2
2022,7,1,7,11,臺中市,清水區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,4,4,4,5,5,1,15,6,2,7,1,1,C03,7,9,1,10,2,12,,6,6,1,21,8,C03,120.566889,24.278414,2
2022,7,1,7,20,臺中市,后里區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,1,1,9,5,4,1,12,6,3,10,1,1,B03,7,6,3,18,2,2,,6,6,1,9,1,B03,120.709839,24.305232,2
2022,7,1,7,28,臺中市,沙鹿區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,A31,,,1,,2,,,23,,1,21,,A31,120.569389,24.20215,3
2022,7,1,7,33,臺中市,梧棲區,0,0,0,8,,,60,,,,,,,,,,,,,,,17,,,,,B03,,,1,,1,,,17,17,1,3,,B03,120.53696,24.252106,3
2022,7,1,7,40,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,C03,,,3,,2,,,23,23,1,22,,C03,120.690469,24.177583,3
2022,7,1,7,41,臺中市,太平區,0,2,0,8,1,5,50,14,22,1,5,4,5,7,4,4,5,5,5,2,13,23,2,9,1,1,C03,7,9,1,10,2,11,,23,23,1,21,8,C03,120.733458,24.119533,2
2022,7,1,7,46,臺中市,潭子區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,C03,,,1,,2,,,23,23,1,22,,C03,120.689847,24.211522,3
2022,7,1,7,47,臺中市,東區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,2,,,23,23,1,5,,B03,120.693988,24.148049,3
2022,7,1,7,50,臺中市,大雅區,0,0,0,8,,,50,,,,,,,,,,,,,,,19,,,,,C03,,,1,,2,,,19,19,1,22,,C03,120.672173,24.212116,3
2022,7,1,7,50,臺中市,太平區,0,1,0,8,1,5,50,3,1,1,4,4,5,7,1,1,10,5,5,2,17,8,2,9,1,1,C03,7,5,1,10,2,14,,8,8,1,9,1,C03,120.708873,24.123956,2
2022,7,1,7,51,臺中市,豐原區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,5,5,5,2,15,25,3,10,3,4,B03,7,9,1,8,2,8,,25,25,1,9,8,B03,120.718843,24.237908,2
2022,7,1,7,57,臺中市,大雅區,0,1,0,8,1,5,40,14,8,1,5,4,5,7,4,4,3,4,3,2,13,23,3,10,1,1,B03,7,9,1,8,2,1,,23,23,1,22,8,B03,120.62866,24.206323,2
2022,7,1,8,4,臺中市,太平區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,15,6,3,10,1,1,B03,7,9,1,8,2,2,,6,6,1,21,8,B03,120.715524,24.114237,2
