年,月,日,時,分,縣市,區,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS緯度,GPS經度,事故類別
2022,4,1,0,5,臺中市,南屯區,0,0,0,6,,,30,,,,,,,,,,,,,,,12,,,,,B12,,,1,,11,,,12,12,1,4,,B12,120.628264,24.152613,3
2022,4,1,0,15,臺中市,東區,0,1,0,8,3,5,50,4,1,1,5,4,5,7,1,1,9,4,5,2,11,8,3,10,1,1,B03,7,5,1,8,2,8,,8,8,1,5,1,B03,120.69958,24.14483,2
2022,4,1,0,47,臺中市,西區,0,1,0,8,3,5,50,14,9,1,5,4,5,7,4,4,5,4,5,2,16,10,2,9,1,1,C02,7,11,1,9,2,14,,10,10,1,21,8,C02,120.669396,24.146874,2
2022,4,1,1,1,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,1,,,23,23,1,22,,B03,120.647944,24.158169,3
2022,4,1,5,13,臺中市,豐原區,0,1,0,8,3,5,50,4,1,1,5,4,5,7,3,1,10,5,5,2,15,6,3,10,3,4,B03,7,9,6,18,2,2,,6,6,1,22,8,B03,120.726211,24.255691,2
2022,4,1,6,6,臺中市,潭子區,0,2,0,8,2,5,30,14,9,1,5,4,5,7,4,4,10,5,5,2,17,40,3,10,1,1,B03,7,13,1,4,11,4,,40,40,1,22,8,B03,120.678805,24.208186,2
2022,4,1,7,6,臺中市,豐原區,0,0,0,8,,,50,,,,,,,,,,,,,,,6,,,,,B03,,,1,,2,,,6,6,1,22,,B03,120.756064,24.275153,3
2022,4,1,7,10,臺中市,潭子區,0,1,0,8,1,5,40,14,7,1,5,4,5,7,4,4,5,4,4,2,16,10,3,10,1,1,B03,7,11,1,8,2,8,,10,10,1,22,8,B03,120.69272,24.218387,2
2022,4,1,7,15,臺中市,清水區,0,0,0,8,,,60,,,,,,,,,,,,,,,23,,,,,B12,,,1,,2,,,23,23,1,21,,B12,120.550461,24.290846,3
2022,4,1,7,20,臺中市,大甲區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,9,5,4,2,16,6,3,10,1,1,B03,7,11,1,8,2,4,,6,6,1,4,1,B03,120.653565,24.406226,2
2022,4,1,7,21,臺中市,清水區,0,0,0,8,,,40,,,,,,,,,,,,,,,12,,,,,B03,,,1,,2,,,12,12,1,22,,B03,120.54019,24.288908,3
2022,4,1,7,22,臺中市,大雅區,0,1,0,8,1,5,50,5,2,1,5,4,5,7,1,1,1,4,4,1,16,6,3,10,1,1,B12,7,6,1,8,2,2,,6,6,1,22,9,B12,120.629902,24.241209,2
2022,4,1,7,25,臺中市,清水區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,2,,,23,23,1,22,,B03,120.551406,24.290713,3
2022,4,1,7,26,臺中市,后里區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,16,6,3,10,1,1,B12,7,6,1,8,2,4,,6,6,1,9,8,B12,120.718439,24.314671,2
